name,BestMCC,ObjatBestMCC,TimeatBestMCC,BestObj,TimeatBestObj,MFEatBestMCC,MFEatBestObj,MCCatBestObj,TP,TN,FN,FP,PostProcessMCC,MinDist,Backtracks,Repeat,TimeLimit,Vars
RFA_00424,0.551,1005,0.0,1110,0.0,-25.9,-30.3,0.512,29,30,1,21,0.454,4,4,2,60,413
RFA_00425,0.757,715,0.0,736,60.0,-16.3,-13.1,0.654,26,24,0,8,-100,4,4,2,60,165
RFA_00426,0.757,706,0.0,727,60.0,-15.4,-12.2,0.654,26,24,0,8,-100,4,4,2,60,174
RFA_00427,0.863,616,0.0,681,60.0,-20.0,-20.0,0.863,28,23,0,4,0.8,4,4,2,60,176
RFA_00428,0.863,681,0.0,681,0.0,-19.2,-19.2,0.863,28,23,0,4,0.8,4,4,2,60,168
RFA_00429,0.818,515,0.0,515,0.0,-17.9,-17.9,0.818,18,18,0,4,-100,4,4,2,60,78
RFA_00430,0.863,626,0.0,682,60.0,-17.6,-17.6,0.863,28,23,0,4,0.8,4,4,2,60,169
RFA_00431,0.905,445,0.0,493,60.0,-16.7,-18.2,0.818,18,20,0,2,-100,4,4,2,60,80
RFA_00432,0.93,507,0.0,681,60.0,-13.0,-19.2,0.863,26,27,2,0,0.8,4,4,2,60,164
RFA_00433,0.779,534,0.0,660,0.0,-9.7,-13.7,0.775,26,22,4,2,0.725,4,4,2,60,146
RFA_00434,0.237,672,60.0,672,60.0,-10.2,-10.2,0.237,23,11,7,13,0.151,4,4,2,60,158
RFA_00435,0.237,672,60.0,672,60.0,-10.2,-10.2,0.237,23,11,7,13,0.151,4,4,2,60,152
RFA_00436,0.775,672,0.0,672,0.0,-16.1,-16.1,0.775,28,20,2,4,0.725,4,4,2,60,153
RFA_00437,0.775,649,60.0,649,60.0,-13.8,-13.8,0.775,28,20,2,4,0.725,4,4,2,60,157
RFA_00438,0.7,603,0.0,699,60.0,-14.1,-14.3,0.632,26,20,4,4,0.661,4,4,2,60,157
RFA_00439,0.775,654,0.0,654,0.0,-14.3,-14.3,0.775,28,20,2,4,0.725,4,4,2,60,162
RFA_00440,0.781,675,0.0,675,0.0,-16.4,-16.4,0.781,28,21,2,4,0.733,4,4,2,60,158
RFA_00441,0.775,660,60.0,660,60.0,-14.9,-14.9,0.775,28,20,2,4,0.725,4,4,2,60,134
RFA_00442,0.775,648,60.0,648,60.0,-13.0,-13.0,0.775,28,20,2,4,0.725,4,4,2,60,156
RFA_00443,0.775,645,60.0,645,60.0,-13.4,-13.4,0.775,28,20,2,4,0.725,4,4,2,60,166
RFA_00444,0.93,684,60.0,684,60.0,-16.3,-16.3,0.93,30,24,0,2,0.801,4,4,2,60,161
RFA_00445,0.93,628,0.0,684,60.0,-16.3,-16.3,0.93,30,24,0,2,0.864,4,4,2,60,146
RFA_00446,0.863,691,0.0,691,0.0,-18.8,-18.8,0.863,28,23,0,4,0.8,4,4,2,60,156
RFA_00447,0.775,660,0.0,660,0.0,-14.9,-14.9,0.775,28,20,2,4,0.725,4,4,2,60,143
RFA_00448,0.775,672,60.0,672,60.0,-16.1,-16.1,0.775,28,20,2,4,0.725,4,4,2,60,135
RFA_00449,0.863,644,0.0,644,0.0,-12.1,-12.1,0.863,28,23,0,4,-100,4,4,2,60,176
RFA_00450,0.584,923,0.0,1110,0.0,-19.4,-30.3,0.512,29,32,1,19,0.454,4,4,2,60,406
RFA_00582,0.445,1603,12.4,1644,60.0,-35.3,-35.3,0.445,30,38,0,42,0.427,4,4,2,60,769
RFA_00583,0.585,1046,0.0,1283,2.1,-22.5,-26.1,0.47,29,47,1,23,0.449,4,4,2,60,600
RFA_00584,0.457,1177,0.0,1177,0.0,-23.9,-23.9,0.457,30,19,0,28,-100,4,4,2,60,423
RFA_00585,0.602,1231,0.2,1274,60.0,-27.6,-24.8,0.509,30,45,0,24,0.488,4,4,2,60,604
RFA_00586,0.492,849,0.1,913,60.0,-17.6,-16.6,0.446,24,41,4,20,0.368,4,4,2,60,510
RFA_00587,0.509,1187,0.1,1253,60.0,-15.7,-20.4,0.509,30,37,0,32,0.488,4,4,2,60,627
RFA_00588,0.595,1017,0.0,1233,60.0,-18.7,-23.8,0.499,30,42,0,24,0.455,4,4,2,60,612
RFA_00589,0.539,1209,0.0,1337,0.2,-19.5,-22.7,0.446,30,36,0,28,0.423,4,4,2,60,635
RFA_00590,0.425,1116,11.8,1125,60.0,-20.5,-15.6,0.385,24,44,2,34,0.346,4,4,2,60,703
RFA_00591,0.629,1119,0.4,1227,60.0,-25.6,-20.3,0.47,30,48,0,22,0.449,4,4,2,60,636
RFA_00592,0.445,1457,4.2,1534,6.2,-31.7,-31.4,0.445,30,38,0,42,0.427,4,4,2,60,770
RFA_00593,0.592,867,0.0,882,0.4,-15.2,-11.6,0.521,27,30,1,17,-100,4,4,2,60,364
RFA_00594,0.592,859,0.0,882,0.6,-13.7,-11.6,0.521,27,30,1,17,-100,4,4,2,60,369
RFA_00596,0.228,836,0.1,1077,21.3,-0.6,-17.0,-0.028,17,45,5,43,0.01,4,4,2,60,846
RFA_00597,0.081,2658,13.4,3618,43.8,-37.3,-56.2,0.002,90,153,110,90,0.02,4,1608.3,2,60,16083
RFA_00598,0.046,3177,62.8,3177,62.8,-15.2,-15.2,0.046,127,85,67,133,0.031,4,1384.1,2,60,13841
RFA_00599,0.146,4253,16.2,4553,65.0,-96.0,-107.2,0.118,137,118,71,125,0.129,4,1500.1,2,60,15001
RFA_00600,0.087,4464,37.5,4679,39.8,-78.9,-83.1,0.087,125,128,63,175,0.068,4,1905.4,2,60,19054
RFA_00601,0.031,-100,72.0,5110,72.0,-110.2,-113.3,0.029,159,69,61,157,0.031,4,1675.0,2,60,16750
RFA_00602,0.206,4535,61.4,4612,61.4,-96.4,-98.6,0.17,160,111,66,114,0.119,4,1694.0,2,60,16940
RFA_00603,0.346,1171,0.3,1558,32.3,-2.8,-19.0,0.131,47,64,21,33,0.122,4,182.8,2,60,1828
RFA_00604,0.441,1613,6.2,1769,31.2,-25.2,-15.9,0.413,53,64,13,35,0.394,4,182.0,2,60,1820
RFA_00605,0.308,1385,1.1,1937,60.1,-14.6,-19.8,0.26,38,79,22,36,0.245,4,211.3,2,60,2113
RFA_00606,0.419,1593,1.5,2105,60.1,-10.5,-17.8,0.05,55,90,15,47,0.015,4,284.9,2,60,2849
RFA_00607,0.57,1692,1.2,2187,37.6,-23.8,-33.3,0.466,58,87,6,38,0.45,4,232.0,2,60,2320
RFA_00608,0.22,1362,0.3,2139,60.1,3.8,-25.9,0.047,45,66,19,59,0.071,4,244.8,2,60,2448
RFA_00609,0.549,2251,7.2,2307,60.1,-53.3,-42.4,0.364,66,76,6,42,0.334,4,218.3,2,60,2183
RFA_00610,0.35,1877,0.8,2358,17.6,-28.0,-43.0,0.321,55,63,11,57,0.319,4,208.9,2,60,2089
RFA_00611,0.317,1302,0.5,1551,2.9,-4.2,-5.9,0.24,51,51,13,47,0.201,4,173.5,2,60,1735
RFA_00612,0.355,1117,0.2,1538,60.0,8.3,-15.3,0.25,51,55,15,39,0.236,4,164.4,2,60,1644
RFA_00613,0.213,1011,0.3,1436,56.2,-0.8,-2.1,-0.112,41,56,23,41,-0.108,4,163.4,2,60,1634
RFA_00614,0.163,1301,0.3,1608,59.5,1.4,-11.4,0.143,35,49,15,55,0.089,4,153.8,2,60,1538
RFA_00615,0.294,1093,0.2,1466,60.0,5.2,-2.1,0.081,48,56,18,42,0.078,4,162.3,2,60,1623
RFA_00616,0.427,2442,60.1,2442,60.1,-21.3,-21.3,0.427,65,74,5,71,0.425,4,298.5,2,60,2985
RFA_00617,0.274,2195,42.8,2297,58.4,-20.7,-22.7,0.245,54,75,16,70,0.229,4,290.5,2,60,2905
RFA_00618,0.232,-100,60.1,1967,37.5,0.5,-9.0,0.214,52,65,12,86,0.232,4,311.6,2,60,3116
SRP_00001,0.68,1738,3.3,1770,27.9,-45.1,-49.5,0.675,73,28,7,9,-100,4,4,2,60,994
SRP_00002,0.171,-100,60.9,3145,18.4,-40.9,-42.7,0.161,143,46,61,51,0.171,4,689.6,2,60,6896
SRP_00003,0.169,-100,60.4,3183,13.0,-93.4,-102.0,0.153,132,54,60,58,0.169,4,662.0,2,60,6620
SRP_00004,0.279,1354,0.7,1367,6.5,-31.9,-37.9,0.193,50,19,14,20,0.223,4,4,2,60,726
SRP_00005,0.236,843,0.1,986,0.8,-14.4,-16.4,0.096,36,20,12,22,0.094,4,4,2,60,630
SRP_00006,0.107,2063,3.6,2639,60.9,-20.0,-38.1,0.023,113,56,89,45,0.038,4,674.8,2,60,6748
SRP_00007,0.301,1752,15.9,1787,38.6,-44.5,-42.0,0.271,68,35,22,30,0.267,4,182.6,2,60,1826
SRP_00008,0.595,1183,0.1,1183,0.1,-39.0,-39.0,0.595,44,19,6,8,0.528,4,4,2,60,357
SRP_00009,0.394,3487,51.7,3487,51.7,-77.1,-77.1,0.394,139,75,65,27,0.316,4,733.6,2,60,7336
SRP_00010,0.196,2537,9.1,3249,59.0,-30.5,-62.7,0.145,120,62,84,38,0.122,4,722.4,2,60,7224
SRP_00011,0.209,2845,26.4,2923,60.3,-40.7,-47.8,0.166,140,53,68,44,0.157,4,749.4,2,60,7494
SRP_00012,0.073,2737,28.4,2808,61.1,-46.4,-49.6,0.06,127,46,75,57,0.033,4,697.3,2,60,6973
SRP_00013,0.191,2186,2.2,2750,60.1,-31.6,-40.5,0.155,110,67,94,34,0.134,4,730.3,2,60,7303
SRP_00014,0.193,2490,2.2,3008,60.3,-30.5,-42.7,0.156,128,58,74,44,0.155,4,730.2,2,60,7302
SRP_00015,0.185,2670,45.5,2907,60.1,-17.7,-26.8,0.156,125,60,73,47,0.183,4,660.9,2,60,6609
SRP_00016,0.368,3145,3.5,3384,60.4,-90.0,-94.4,0.315,155,63,63,29,0.32,4,750.4,2,60,7504
SRP_00018,0.161,1973,1.9,2541,50.4,-2.7,-44.0,0.121,103,61,59,55,0.128,4,563.7,2,60,5637
SRP_00019,0.338,2382,43.3,2776,60.6,-26.3,-49.7,0.265,133,54,49,33,0.24,4,544.7,2,60,5447
SRP_00020,0.798,1446,60.0,1446,60.0,-49.3,-49.3,0.798,63,33,3,7,0.758,4,4,2,60,753
SRP_00021,0.058,-100,60.4,2519,60.4,-38.0,-45.8,0.038,94,50,74,50,0.05,4,535.1,2,60,5351
SRP_00022,0.367,2675,16.1,3083,35.9,-56.4,-63.2,0.335,120,65,62,24,0.291,4,564.3,2,60,5643
SRP_00023,0.441,1150,0.2,1854,60.0,-28.2,-69.7,0.374,52,97,18,38,0.367,4,146.2,2,60,1462
SRP_00024,0.306,2778,10.4,3145,55.7,-54.4,-80.2,0.197,120,63,54,38,0.17,4,556.9,2,60,5569
SRP_00025,0.213,2759,43.2,2768,60.6,-45.8,-44.3,0.206,112,54,56,44,0.192,4,540.2,2,60,5402
SRP_00026,0.308,2832,25.9,3177,60.3,-60.9,-69.8,0.285,122,60,54,36,0.247,4,562.0,2,60,5620
SRP_00027,0.16,2354,3.2,3157,60.0,-39.9,-64.5,0.085,121,46,53,53,0.069,4,570.2,2,60,5702
SRP_00028,0.351,2153,3.3,3273,60.5,-29.1,-67.1,0.291,118,67,54,32,0.299,4,561.2,2,60,5612
SRP_00029,0.351,2153,3.3,3273,60.6,-29.1,-67.1,0.291,118,67,54,32,0.299,4,561.2,2,60,5612
SRP_00030,0.4,2567,11.9,3176,60.2,-36.5,-64.0,0.276,134,62,42,34,0.311,4,536.3,2,60,5363
SRP_00031,0.156,2459,3.2,2963,47.4,-31.9,-41.1,0.103,114,48,64,44,0.091,4,552.0,2,60,5520
